msg_id,payload_size,response_time_ms
1, 400, 1.2215
2, 400, 0.9785
3, 400, 0.9819
4, 400, 1.1892
5, 400, 1.0897
6, 400, 1.2123
7, 400, 1.0156
8, 1900, 1.4015
9, 1900, 1.1582
10, 1900, 1.1625
11, 1900, 1.0698
12, 1900, 0.9840
13, 1900, 0.9051
14, 1900, 0.9769
15, 3400, 1.2097
16, 3400, 1.0265
17, 3400, 0.9617
18, 3400, 0.9422
19, 3400, 0.9802
20, 3400, 1.0311
21, 3400, 1.0757
22, 4900, 1.2119
23, 4900, 1.2668
24, 4900, 1.2552
25, 4900, 1.3753
26, 4900, 1.0076
27, 4900, 0.9578
28, 4900, 0.9568
29, 6400, 1.0539
30, 6400, 0.9938
31, 6400, 1.0949
32, 6400, 1.0609
33, 6400, 1.1242
34, 6400, 1.1265
35, 6400, 1.1320
36, 7900, 0.8693
37, 7900, 0.9935
38, 7900, 1.1167
39, 7900, 1.0481
40, 7900, 1.1038
41, 7900, 0.8725
42, 7900, 1.0245
43, 9400, 0.9758
44, 9400, 0.9104
45, 9400, 1.0780
46, 9400, 0.9667
47, 9400, 1.0567
48, 9400, 1.0842
49, 9400, 1.2519
50, 10900, 0.9237
51, 10900, 0.9679
52, 10900, 0.9198
53, 10900, 0.9704
54, 10900, 1.2170
55, 10900, 1.3071
56, 10900, 1.3903
57, 12400, 1.5816
58, 12400, 1.3408
59, 12400, 0.9446
60, 12400, 1.5141
61, 12400, 1.3991
62, 12400, 1.2357
63, 12400, 1.4112
64, 13900, 1.0446
65, 13900, 1.0793
66, 13900, 1.2179
67, 13900, 1.1455
68, 13900, 1.0318
69, 13900, 1.1871
70, 13900, 1.0768
71, 15400, 1.3024
72, 15400, 1.4384
73, 15400, 1.3910
74, 15400, 1.3902
75, 15400, 1.2536
76, 15400, 1.2510
77, 15400, 1.2946
78, 16900, 1.7201
79, 16900, 1.2991
80, 16900, 1.1536
81, 16900, 1.5251
82, 16900, 1.3378
83, 16900, 1.4380
84, 16900, 1.4316
85, 18400, 1.3808
86, 18400, 1.2355
87, 18400, 1.2814
88, 18400, 1.2308
89, 18400, 1.0913
90, 18400, 1.4618
91, 18400, 1.3232
92, 19900, 1.1697
93, 19900, 1.4321
94, 19900, 1.0376
95, 19900, 1.1214
96, 19900, 1.4091
97, 19900, 1.2963
98, 19900, 1.1049
99, 21400, 1.2650
100, 21400, 1.2168
101, 21400, 1.0921
102, 21400, 1.2218
103, 21400, 1.3156
104, 21400, 1.2315
105, 21400, 1.4943
106, 22900, 1.5248
107, 22900, 1.3175
108, 22900, 1.4531
109, 22900, 1.2666
110, 22900, 1.3879
111, 22900, 1.4490
112, 22900, 1.3179
113, 24400, 1.2998
114, 24400, 1.5335
115, 24400, 1.3100
116, 24400, 1.2578
117, 24400, 1.3111
118, 24400, 1.2177
119, 24400, 1.3056
120, 25900, 1.3844
121, 25900, 1.3863
122, 25900, 1.3016
123, 25900, 1.6510
124, 25900, 1.6825
125, 25900, 1.5507
126, 25900, 1.6635
127, 27400, 1.7377
128, 27400, 1.7851
129, 27400, 1.7517
130, 27400, 1.3008
131, 27400, 1.4832
132, 27400, 1.9083
133, 27400, 1.4759
134, 28900, 1.7500
135, 28900, 1.6702
136, 28900, 1.6026
137, 28900, 1.3387
138, 28900, 1.4896
139, 28900, 1.4684
140, 28900, 1.2387
141, 30400, 1.4690
142, 30400, 1.4545
143, 30400, 1.3909
144, 30400, 1.7357
145, 30400, 1.5880
146, 30400, 1.5066
147, 30400, 1.6422
148, 31900, 1.5363
149, 31900, 1.4008
150, 31900, 1.6578
151, 31900, 1.7147
152, 31900, 1.3351
153, 31900, 2.3174
154, 31900, 1.5222
155, 33400, 1.3763
156, 33400, 1.6117
157, 33400, 1.7977
158, 33400, 1.6562
159, 33400, 1.7072
160, 33400, 1.5899
161, 33400, 1.3056
162, 34900, 1.7698
163, 34900, 1.5083
164, 34900, 1.6563
165, 34900, 1.8084
166, 34900, 1.5299
167, 34900, 1.6041
168, 34900, 1.6657
169, 36400, 1.9245
170, 36400, 1.5333
171, 36400, 1.9725
172, 36400, 1.7901
173, 36400, 1.7454
174, 36400, 2.3501
175, 36400, 1.4880
176, 37900, 1.4226
177, 37900, 1.8045
178, 37900, 1.2630
179, 37900, 1.4282
180, 37900, 1.4396
181, 37900, 1.3692
182, 37900, 1.2708
183, 39400, 1.7591
184, 39400, 1.4643
185, 39400, 1.3928
186, 39400, 1.7115
