msg_id,payload_size,response_time_ms
1, 400, 0.7334
2, 400, 0.7607
3, 400, 0.7781
4, 400, 0.7678
5, 400, 0.7747
6, 400, 0.7319
7, 400, 0.8320
8, 1900, 0.8500
9, 1900, 0.7985
10, 1900, 0.7791
11, 1900, 0.6718
12, 1900, 0.9373
13, 1900, 0.6955
14, 1900, 0.9588
15, 3400, 0.9617
16, 3400, 1.0764
17, 3400, 0.9611
18, 3400, 0.9285
19, 3400, 0.8377
20, 3400, 0.7980
21, 3400, 0.8218
22, 4900, 1.1296
23, 4900, 0.8925
24, 4900, 0.9005
25, 4900, 1.0292
26, 4900, 0.8730
27, 4900, 0.9098
28, 4900, 0.9551
29, 6400, 1.0461
30, 6400, 1.0027
31, 6400, 0.9833
32, 6400, 1.1760
33, 6400, 1.1239
34, 6400, 0.9753
35, 6400, 1.1185
36, 7900, 1.0983
37, 7900, 1.1593
38, 7900, 1.1503
39, 7900, 1.0304
40, 7900, 1.0754
41, 7900, 1.1114
42, 7900, 1.0611
43, 9400, 1.0424
44, 9400, 0.9429
45, 9400, 0.9328
46, 9400, 0.9001
47, 9400, 0.7874
48, 9400, 0.8925
49, 9400, 0.9513
50, 10900, 0.8651
51, 10900, 0.8988
52, 10900, 0.8882
53, 10900, 0.9613
54, 10900, 0.9699
55, 10900, 0.9814
56, 10900, 0.8800
57, 12400, 0.9899
58, 12400, 0.8490
59, 12400, 1.0958
60, 12400, 1.0499
61, 12400, 1.1064
62, 12400, 0.9756
63, 12400, 1.0684
64, 13900, 0.9793
65, 13900, 0.9997
66, 13900, 0.8756
67, 13900, 1.1570
68, 13900, 1.0279
69, 13900, 1.0615
70, 13900, 0.9864
71, 15400, 1.3735
72, 15400, 1.1903
73, 15400, 1.4972
74, 15400, 1.4358
75, 15400, 1.2465
76, 15400, 1.1275
77, 15400, 1.1592
78, 16900, 1.4470
79, 16900, 1.2889
80, 16900, 1.1415
81, 16900, 1.4269
82, 16900, 1.4771
83, 16900, 1.4853
84, 16900, 1.3632
85, 18400, 1.4897
86, 18400, 1.5643
87, 18400, 1.4815
88, 18400, 1.3015
89, 18400, 1.2007
90, 18400, 1.2729
91, 18400, 1.1261
92, 19900, 1.3139
93, 19900, 1.1928
94, 19900, 1.3547
95, 19900, 1.5185
96, 19900, 1.7559
97, 19900, 1.3934
98, 19900, 1.5410
99, 21400, 1.3714
100, 21400, 1.3455
101, 21400, 1.3468
102, 21400, 1.4024
103, 21400, 1.4419
104, 21400, 1.4881
105, 21400, 1.3971
106, 22900, 1.5909
107, 22900, 1.5593
108, 22900, 1.6806
109, 22900, 1.6313
110, 22900, 1.7520
111, 22900, 1.6650
112, 22900, 1.6544
113, 24400, 1.6632
114, 24400, 1.9072
115, 24400, 1.7498
116, 24400, 1.5613
117, 24400, 1.5485
118, 24400, 1.4304
119, 24400, 1.3946
120, 25900, 1.6829
121, 25900, 1.6377
122, 25900, 1.4595
123, 25900, 1.7196
124, 25900, 1.8873
125, 25900, 1.5708
126, 25900, 1.6867
127, 27400, 1.6260
128, 27400, 1.4898
129, 27400, 1.7678
130, 27400, 1.6055
131, 27400, 1.6763
132, 27400, 1.5666
133, 27400, 1.7060
134, 28900, 3.9055
135, 28900, 1.6988
136, 28900, 1.6249
137, 28900, 1.5941
138, 28900, 1.5055
139, 28900, 1.7067
140, 28900, 1.6442
141, 30400, 1.5811
142, 30400, 1.5371
143, 30400, 1.5295
144, 30400, 1.5882
145, 30400, 1.6600
146, 30400, 1.8111
147, 30400, 1.8568
148, 31900, 1.8789
149, 31900, 1.5980
150, 31900, 1.9281
151, 31900, 1.4844
152, 31900, 1.5825
153, 31900, 1.7908
154, 31900, 1.6349
155, 33400, 1.6983
156, 33400, 1.6020
157, 33400, 1.6454
158, 33400, 1.4958
159, 33400, 1.5314
160, 33400, 1.6528
161, 33400, 1.6136
162, 34900, 1.5735
163, 34900, 1.6724
164, 34900, 1.7101
165, 34900, 1.4967
166, 34900, 1.6336
167, 34900, 1.5008
168, 34900, 1.4126
169, 36400, 1.5355
170, 36400, 1.3113
171, 36400, 1.6028
172, 36400, 1.6901
173, 36400, 1.5856
174, 36400, 1.6278
175, 36400, 1.7860
176, 37900, 1.7066
177, 37900, 1.9081
178, 37900, 1.6052
179, 37900, 1.5950
180, 37900, 1.5625
181, 37900, 1.5015
182, 37900, 1.6758
183, 39400, 1.6136
184, 39400, 1.6028
185, 39400, 1.7270
186, 39400, 1.9276
187, 39400, 1.8789
188, 39400, 1.7487
189, 39400, 1.9733
190, 40900, 1.8347
191, 40900, 1.6073
192, 40900, 1.7481
193, 40900, 1.7584
194, 40900, 1.5951
195, 40900, 1.6264
196, 40900, 1.7443
197, 42400, 2.0124
