msg_id,payload_size,response_time_ms
1, 400, 1.6526
2, 400, 1.6288
3, 400, 1.8560
4, 400, 1.7090
5, 400, 1.7065
6, 400, 1.5516
7, 400, 1.7488
8, 400, 1.5830
9, 400, 1.7621
10, 400, 44.8774
11, 1900, 1.4066
12, 1900, 1.5719
13, 1900, 1.4803
14, 1900, 1.6631
15, 1900, 1.9311
16, 1900, 2.2709
17, 1900, 2.1858
18, 1900, 2.0983
19, 1900, 1.6721
20, 1900, 2.1843
21, 3400, 1.9773
22, 3400, 1.9839
23, 3400, 1.7425
24, 3400, 1.4113
25, 3400, 1.5728
26, 3400, 1.7420
27, 3400, 1.9351
28, 3400, 1.6506
29, 3400, 1.3740
30, 3400, 1.8426
31, 4900, 1.6458
32, 4900, 1.7506
33, 4900, 1.5773
34, 4900, 1.6620
35, 4900, 1.5497
36, 4900, 1.5076
37, 4900, 1.5888
38, 4900, 1.6296
39, 4900, 1.7925
40, 4900, 1.8640
41, 6400, 1.7682
42, 6400, 1.9149
43, 6400, 1.8590
44, 6400, 1.7634
45, 6400, 1.6512
46, 6400, 1.7404
47, 6400, 1.4950
48, 6400, 1.6751
49, 6400, 1.8072
50, 6400, 1.8792
51, 7900, 2.2016
52, 7900, 1.8254
53, 7900, 2.0089
54, 7900, 1.6339
55, 7900, 1.6749
56, 7900, 1.6057
57, 7900, 1.8917
58, 7900, 1.5708
59, 7900, 1.4437
60, 7900, 1.5818
61, 9400, 1.7434
62, 9400, 1.5328
63, 9400, 1.4079
64, 9400, 1.5314
65, 9400, 1.4371
66, 9400, 1.7137
67, 9400, 1.5444
68, 9400, 1.6927
69, 9400, 1.4051
70, 9400, 1.8524
71, 10900, 1.8210
72, 10900, 1.8793
73, 10900, 2.2612
74, 10900, 1.6368
75, 10900, 1.5673
76, 10900, 1.9783
77, 10900, 1.7101
78, 10900, 1.8485
79, 10900, 1.8032
80, 10900, 1.4722
81, 12400, 1.6570
82, 12400, 2.0501
83, 12400, 1.7837
84, 12400, 1.9158
85, 12400, 1.5553
86, 12400, 1.7737
87, 12400, 1.7043
88, 12400, 1.7203
89, 12400, 1.8321
90, 12400, 1.9821
91, 13900, 1.8192
92, 13900, 1.7986
93, 13900, 1.7418
94, 13900, 2.0143
95, 13900, 2.0649
96, 13900, 1.9047
97, 13900, 2.0365
98, 13900, 1.6406
99, 13900, 1.9357
100, 13900, 1.9130
101, 15400, 1.7948
102, 15400, 1.6435
103, 15400, 1.8769
104, 15400, 1.8623
105, 15400, 1.8070
106, 15400, 1.8720
107, 15400, 1.7465
108, 15400, 1.7981
109, 15400, 1.8034
110, 15400, 1.5933
111, 16900, 1.9045
112, 16900, 2.2523
113, 16900, 2.2140
114, 16900, 1.8597
115, 16900, 2.2670
116, 16900, 1.7362
117, 16900, 2.0111
118, 16900, 1.8474
119, 16900, 1.7283
120, 16900, 1.6770
121, 18400, 2.1103
122, 18400, 2.1167
123, 18400, 2.0098
124, 18400, 2.1185
125, 18400, 1.8155
126, 18400, 1.7520
127, 18400, 1.8539
128, 18400, 2.0081
129, 18400, 1.7507
130, 18400, 2.2499
131, 19900, 2.3754
132, 19900, 1.8132
133, 19900, 2.0884
134, 19900, 2.3767
135, 19900, 2.0695
136, 19900, 1.7065
137, 19900, 2.1178
138, 19900, 1.9906
139, 19900, 2.3734
140, 19900, 2.2219
141, 21400, 2.1067
142, 21400, 2.2007
143, 21400, 2.1261
144, 21400, 2.2556
145, 21400, 1.9287
146, 21400, 2.3874
147, 21400, 2.4749
148, 21400, 1.9629
149, 21400, 1.9047
150, 21400, 2.6422
151, 22900, 2.1358
152, 22900, 2.3748
153, 22900, 1.9803
154, 22900, 1.7734
155, 22900, 2.3328
156, 22900, 1.9995
157, 22900, 2.1107
158, 22900, 1.9588
159, 22900, 2.4560
160, 22900, 1.6842
161, 24400, 1.8641
162, 24400, 2.0167
163, 24400, 1.8007
164, 24400, 1.7557
165, 24400, 1.7363
166, 24400, 2.0655
167, 24400, 2.1747
168, 24400, 1.9589
169, 24400, 2.0225
170, 24400, 2.0778
171, 25900, 2.3056
172, 25900, 2.2528
173, 25900, 1.9352
174, 25900, 2.2832
175, 25900, 2.0744
176, 25900, 1.8404
177, 25900, 1.7848
178, 25900, 2.0633
179, 25900, 2.2839
180, 25900, 2.0014
181, 27400, 2.4785
182, 27400, 2.2758
183, 27400, 1.9368
184, 27400, 2.6580
185, 27400, 2.0041
186, 27400, 1.7699
187, 27400, 1.8172
188, 27400, 1.8018
189, 27400, 1.7096
190, 27400, 2.0727
191, 28900, 2.1520
192, 28900, 2.4856
193, 28900, 2.1942
194, 28900, 2.0980
195, 28900, 2.1263
196, 28900, 2.6067
197, 28900, 1.7997
198, 28900, 2.0811
199, 28900, 2.0495
200, 28900, 2.2654
201, 30400, 2.1084
202, 30400, 2.0770
203, 30400, 1.8546
204, 30400, 2.3080
205, 30400, 2.0331
206, 30400, 2.1990
207, 30400, 1.8340
208, 30400, 1.9297
209, 30400, 1.9817
210, 30400, 2.0625
211, 31900, 2.1174
212, 31900, 1.8815
213, 31900, 1.9286
214, 31900, 2.1549
215, 31900, 2.0047
216, 31900, 1.9343
217, 31900, 2.2839
218, 31900, 2.3487
219, 31900, 2.0531
220, 31900, 2.1357
221, 33400, 2.2919
222, 33400, 2.1679
223, 33400, 1.9325
224, 33400, 1.9465
225, 33400, 2.2046
226, 33400, 2.0352
227, 33400, 2.0850
228, 33400, 1.9885
229, 33400, 2.2542
230, 33400, 2.0010
231, 34900, 2.0255
232, 34900, 2.0703
233, 34900, 2.3404
234, 34900, 2.2336
235, 34900, 1.7340
236, 34900, 2.0301
237, 34900, 1.8986
238, 34900, 2.0740
239, 34900, 2.1535
240, 34900, 2.5128
241, 36400, 2.0759
242, 36400, 2.3170
243, 36400, 2.0542
244, 36400, 2.1457
245, 36400, 1.9293
246, 36400, 2.9862
247, 36400, 2.1775
248, 36400, 2.4586
249, 36400, 2.0919
250, 36400, 2.3925
251, 37900, 2.4623
252, 37900, 2.1022
253, 37900, 2.1552
254, 37900, 2.0747
255, 37900, 2.3191
256, 37900, 2.1360
257, 37900, 3.0396
258, 37900, 2.1138
259, 37900, 2.4286
260, 37900, 1.9417
261, 39400, 2.1616
262, 39400, 2.5258
263, 39400, 1.9305
264, 39400, 2.8336
265, 39400, 2.1863
266, 39400, 1.9851
267, 39400, 1.9975
268, 39400, 2.1085
269, 39400, 2.7237
270, 39400, 2.4140
271, 40900, 2.7860
272, 40900, 2.3318
273, 40900, 2.5361
274, 40900, 2.2127
275, 40900, 2.7479
276, 40900, 2.4250
277, 40900, 2.6345
278, 40900, 2.6057
279, 40900, 2.0372
280, 40900, 2.3629
281, 42400, 2.5110
282, 42400, 2.2382
283, 42400, 2.5372
284, 42400, 3.2097
285, 42400, 2.3578
286, 42400, 2.1427
287, 42400, 2.4836
288, 42400, 2.3809
289, 42400, 2.2864
290, 42400, 2.4451
291, 43900, 2.5424
292, 43900, 2.4289
293, 43900, 2.4836
294, 43900, 2.4428
295, 43900, 2.6334
296, 43900, 2.4085
297, 43900, 2.1991
298, 43900, 1.9496
299, 43900, 2.5246
300, 43900, 2.4620
301, 45400, 2.6439
302, 45400, 2.2015
303, 45400, 2.5926
304, 45400, 2.4690
305, 45400, 2.7319
306, 45400, 2.6755
307, 45400, 2.2572
308, 45400, 2.4101
309, 45400, 2.4193
310, 45400, 2.5336
311, 46900, 2.6296
312, 46900, 2.4395
313, 46900, 2.5441
314, 46900, 2.3976
315, 46900, 2.4762
316, 46900, 2.5268
317, 46900, 2.5489
318, 46900, 2.3248
319, 46900, 2.4387
320, 46900, 2.1977
321, 48400, 2.1844
322, 48400, 2.5704
323, 48400, 2.9108
324, 48400, 2.5512
325, 48400, 2.3192
326, 48400, 2.7941
327, 48400, 2.4459
328, 48400, 2.5106
329, 48400, 2.8557
330, 48400, 2.3257
