msg_id,payload_size,response_time_ms
1, 400, 0.8988
2, 400, 0.9833
3, 400, 1.5036
4, 400, 1.0896
5, 400, 1.1507
6, 400, 1.0327
7, 400, 1.0844
8, 1900, 1.7348
9, 1900, 1.7281
10, 1900, 1.5644
11, 1900, 1.1690
12, 1900, 1.2799
13, 1900, 1.4454
14, 1900, 1.1051
15, 3400, 0.9863
16, 3400, 1.0144
17, 3400, 0.8977
18, 3400, 0.9886
19, 3400, 0.9260
20, 3400, 0.9323
21, 3400, 1.1031
22, 4900, 1.0920
23, 4900, 1.1117
24, 4900, 1.1384
25, 4900, 1.0114
26, 4900, 1.0581
27, 4900, 0.9914
28, 4900, 0.9704
29, 6400, 1.1218
30, 6400, 0.9984
31, 6400, 0.9900
32, 6400, 1.1090
33, 6400, 0.9407
34, 6400, 1.0234
35, 6400, 0.9606
36, 7900, 1.0563
37, 7900, 0.9860
38, 7900, 1.1102
39, 7900, 1.0001
40, 7900, 1.1131
41, 7900, 1.3362
42, 7900, 1.0781
43, 9400, 1.3127
44, 9400, 1.2453
45, 9400, 0.9876
46, 9400, 0.9686
47, 9400, 1.0088
48, 9400, 1.0375
49, 9400, 1.0723
50, 10900, 1.0926
51, 10900, 1.1301
52, 10900, 1.0709
53, 10900, 1.0601
54, 10900, 0.9742
55, 10900, 1.1181
56, 10900, 1.2899
57, 12400, 1.3938
58, 12400, 1.2917
59, 12400, 1.2814
60, 12400, 1.2989
61, 12400, 1.0485
62, 12400, 1.1780
63, 12400, 1.2897
64, 13900, 1.0018
65, 13900, 1.1272
66, 13900, 0.9505
67, 13900, 1.0320
68, 13900, 0.9697
69, 13900, 1.2142
70, 13900, 1.3770
71, 15400, 1.0984
72, 15400, 1.0743
73, 15400, 1.1983
74, 15400, 1.2429
75, 15400, 1.1909
76, 15400, 1.3342
77, 15400, 1.3292
78, 16900, 1.4917
79, 16900, 1.0810
80, 16900, 1.5180
81, 16900, 1.4817
82, 16900, 1.1883
83, 16900, 1.2041
84, 16900, 1.4374
85, 18400, 1.2774
86, 18400, 1.1681
87, 18400, 1.2352
88, 18400, 1.2014
89, 18400, 1.2222
90, 18400, 1.2316
91, 18400, 1.1204
92, 19900, 1.2285
93, 19900, 1.4971
94, 19900, 1.3726
95, 19900, 1.2398
96, 19900, 1.3355
97, 19900, 1.1577
98, 19900, 1.3419
99, 21400, 1.3541
100, 21400, 1.1198
101, 21400, 1.2216
102, 21400, 1.2721
103, 21400, 1.2902
104, 21400, 1.0746
105, 21400, 1.4012
106, 22900, 1.4079
107, 22900, 1.2060
108, 22900, 1.3723
109, 22900, 1.0411
110, 22900, 1.3963
111, 22900, 1.3066
112, 22900, 1.1886
113, 24400, 1.1932
