msg_id,payload_size,response_time_ms
1, 400, 0.7319
2, 400, 0.9659
3, 400, 0.8889
4, 400, 1.0352
5, 400, 0.9667
6, 400, 1.0062
7, 400, 0.8908
8, 1900, 0.8772
9, 1900, 0.9109
10, 1900, 0.9598
11, 1900, 1.0637
12, 1900, 1.0872
13, 1900, 0.8522
14, 1900, 1.1643
15, 3400, 1.0572
16, 3400, 0.9621
17, 3400, 0.9771
18, 3400, 0.9258
19, 3400, 0.8735
20, 3400, 1.1260
21, 3400, 0.9317
22, 4900, 1.3994
23, 4900, 1.0140
24, 4900, 1.0620
25, 4900, 0.8395
26, 4900, 0.9866
27, 4900, 0.9238
28, 4900, 0.9698
29, 6400, 0.8639
30, 6400, 0.9773
31, 6400, 0.9133
32, 6400, 0.9367
33, 6400, 0.8995
34, 6400, 0.9890
35, 6400, 0.9412
36, 7900, 1.0058
37, 7900, 1.1468
38, 7900, 0.9682
39, 7900, 0.9934
40, 7900, 1.0044
41, 7900, 1.2797
42, 7900, 1.0464
43, 9400, 0.9671
44, 9400, 1.1510
45, 9400, 1.1056
46, 9400, 1.0074
47, 9400, 0.8748
48, 9400, 1.0091
49, 9400, 1.2672
50, 10900, 0.9850
51, 10900, 0.9253
52, 10900, 0.9732
53, 10900, 0.9192
54, 10900, 0.9992
55, 10900, 0.9980
56, 10900, 0.9873
57, 12400, 1.0965
58, 12400, 1.0195
59, 12400, 1.0850
60, 12400, 1.2524
61, 12400, 1.0542
62, 12400, 0.8747
63, 12400, 1.3215
64, 13900, 1.1051
65, 13900, 1.1489
66, 13900, 1.3517
67, 13900, 1.4332
68, 13900, 1.0134
69, 13900, 1.1554
70, 13900, 1.0271
71, 15400, 1.0367
72, 15400, 1.0425
73, 15400, 1.1723
74, 15400, 1.1229
75, 15400, 1.2048
76, 15400, 1.1749
77, 15400, 1.2057
78, 16900, 1.0728
79, 16900, 1.1561
80, 16900, 1.3419
81, 16900, 1.2450
82, 16900, 1.2115
83, 16900, 1.2526
84, 16900, 1.3369
85, 18400, 1.1559
86, 18400, 1.2774
87, 18400, 1.2492
88, 18400, 1.1863
89, 18400, 1.2622
90, 18400, 1.5648
91, 18400, 1.3895
92, 19900, 1.3716
93, 19900, 1.5068
94, 19900, 1.1345
95, 19900, 1.2124
96, 19900, 1.5247
97, 19900, 1.1854
98, 19900, 1.2750
99, 21400, 1.5530
100, 21400, 1.1723
101, 21400, 1.4745
102, 21400, 1.3333
103, 21400, 1.1265
104, 21400, 1.1407
105, 21400, 1.4824
106, 22900, 1.5070
107, 22900, 1.2253
108, 22900, 1.3650
109, 22900, 1.2664
110, 22900, 1.2927
111, 22900, 1.4777
112, 22900, 1.2663
113, 24400, 1.5772
114, 24400, 1.5966
115, 24400, 1.4097
116, 24400, 1.4069
117, 24400, 1.5100
118, 24400, 1.3159
119, 24400, 1.4266
120, 25900, 1.6331
121, 25900, 1.5104
122, 25900, 1.3737
123, 25900, 1.5900
124, 25900, 1.2596
125, 25900, 1.3650
126, 25900, 1.3277
127, 27400, 1.2777
128, 27400, 1.3619
129, 27400, 1.4065
130, 27400, 1.4056
131, 27400, 1.3126
132, 27400, 1.4714
133, 27400, 1.2827
134, 28900, 1.2844
135, 28900, 1.3840
136, 28900, 1.3801
137, 28900, 1.1835
138, 28900, 2.3766
139, 28900, 1.2205
140, 28900, 1.3467
141, 30400, 1.5632
142, 30400, 1.4621
143, 30400, 1.3950
144, 30400, 2.2760
145, 30400, 1.4015
146, 30400, 1.1837
147, 30400, 1.5719
148, 31900, 1.4375
149, 31900, 1.3241
150, 31900, 1.5470
151, 31900, 1.2915
152, 31900, 1.4739
153, 31900, 1.8031
154, 31900, 1.4902
155, 33400, 1.4700
156, 33400, 1.2524
157, 33400, 1.5737
158, 33400, 1.4464
159, 33400, 1.5502
160, 33400, 1.6712
161, 33400, 1.3523
162, 34900, 1.5233
163, 34900, 1.2790
164, 34900, 1.4182
165, 34900, 1.4274
166, 34900, 1.2934
167, 34900, 1.3589
168, 34900, 1.4808
169, 36400, 1.5282
170, 36400, 1.2818
171, 36400, 1.6183
172, 36400, 1.4913
173, 36400, 1.4002
174, 36400, 1.7428
175, 36400, 1.5828
176, 37900, 1.4047
177, 37900, 1.4904
178, 37900, 1.4410
179, 37900, 1.4057
180, 37900, 1.6652
181, 37900, 1.4597
182, 37900, 1.8412
183, 39400, 1.8793
184, 39400, 1.5810
185, 39400, 1.7286
186, 39400, 1.7469
187, 39400, 1.7030
188, 39400, 1.5821
189, 39400, 1.7933
190, 40900, 1.5515
191, 40900, 1.7274
192, 40900, 1.3871
193, 40900, 1.5769
194, 40900, 1.6934
195, 40900, 1.6808
196, 40900, 1.2943
197, 42400, 1.4597
198, 42400, 1.7962
199, 42400, 1.4396
200, 42400, 1.7744
201, 42400, 1.6563
202, 42400, 1.4265
203, 42400, 1.2390
204, 43900, 1.6585
205, 43900, 1.2322
206, 43900, 1.3377
207, 43900, 1.6354
208, 43900, 1.4534
209, 43900, 1.2854
210, 43900, 1.6933
211, 45400, 1.4338
212, 45400, 1.5376
213, 45400, 1.7959
214, 45400, 2.0080
215, 45400, 1.5657
216, 45400, 1.7482
217, 45400, 1.6047
218, 46900, 1.6426
219, 46900, 1.8172
220, 46900, 1.6552
221, 46900, 1.6455
222, 46900, 1.7093
223, 46900, 1.5752
224, 46900, 1.2778
225, 48400, 1.6620
226, 48400, 1.4194
227, 48400, 1.4361
228, 48400, 1.5430
229, 48400, 1.8543
